[13:58:23] === bench-spark run ===
[13:58:23] Profile: qwen3.5-9b-bf16
[13:58:23] Tests:   A B C D E F G H I J
[13:58:23] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.5-9b/bf16
[13:58:23] ── START A ──
[13:59:23]     ... A running: 60s, GPU 96%
[14:40:11]     ... C running: 240s, GPU 96%
[14:41:11]     ... C running: 300s, GPU 96%
[14:42:11]     ... C running: 360s, GPU 96%
[14:43:11]     ... C running: 420s, GPU 96%
[14:44:11]     ... C running: 480s, GPU 96%
[14:45:11]     ... C running: 540s, GPU 96%
[14:46:12]     ... C running: 601s, GPU 96%
[14:47:12]     ... C running: 661s, GPU 96%
[14:48:12]     ... C running: 721s, GPU 96%
[14:48:24] ── END C (733s) ──
[14:48:24] ── START D ──
[14:49:24]     ... D running: 60s, GPU 96%
[14:50:24]     ... D running: 120s, GPU 96%
[14:51:24]     ... D running: 180s, GPU 96%
[14:52:24]     ... D running: 240s, GPU 96%
[14:53:24]     ... D running: 300s, GPU 96%
[14:54:24]     ... D running: 360s, GPU 96%
[14:55:24]     ... D running: 420s, GPU 96%
[14:56:25]     ... D running: 481s, GPU 96%
[14:57:25]     ... D running: 541s, GPU 96%
[14:58:25]     ... D running: 601s, GPU 96%
[14:59:25]     ... D running: 661s, GPU 96%
[15:00:25]     ... D running: 721s, GPU 96%
[15:01:25]     ... D running: 781s, GPU 96%
[15:02:25]     ... D running: 841s, GPU 96%
[15:03:25]     ... D running: 901s, GPU 96%
[15:03:29] ── END D (905s) ──
[15:03:29] ── START E ──
[15:04:29]     ... E running: 60s, GPU 96%
[15:05:29]     ... E running: 120s, GPU 96%
[15:06:30]     ... E running: 181s, GPU 96%
[15:07:30]     ... E running: 241s, GPU 96%
[15:08:30]     ... E running: 301s, GPU 96%
[15:09:30]     ... E running: 361s, GPU 96%
[15:10:00] ── END E (391s) ──
[15:10:00] ── START F ──
[15:11:00]     ... F running: 60s, GPU 89%
[15:12:00]     ... F running: 120s, GPU 96%
[15:13:01]     ... F running: 181s, GPU 96%
[15:14:01]     ... F running: 241s, GPU 96%
[15:15:01]     ... F running: 301s, GPU 96%
[15:16:01]     ... F running: 361s, GPU 96%
[15:17:01]     ... F running: 421s, GPU 96%
[15:18:01]     ... F running: 481s, GPU 96%
[15:19:01]     ... F running: 541s, GPU 96%
[15:20:01]     ... F running: 601s, GPU 96%
[15:20:05] ── END F (605s) ──
[15:20:05] ── START G ──
[15:21:05]     ... G running: 60s, GPU 96%
[15:22:05]     ... G running: 120s, GPU 96%
[15:23:05]     ... G running: 180s, GPU 96%
[15:24:05]     ... G running: 240s, GPU 96%
[15:25:05]     ... G running: 300s, GPU 96%
[15:26:05]     ... G running: 360s, GPU 96%
[15:27:05]     ... G running: 420s, GPU 96%
[15:28:05]     ... G running: 480s, GPU 96%
[15:29:05]     ... G running: 540s, GPU 96%
[15:30:05]     ... G running: 600s, GPU 96%
[15:31:05]     ... G running: 660s, GPU 96%
[15:32:05]     ... G running: 720s, GPU 96%
[15:33:05]     ... G running: 780s, GPU 96%
[15:34:05]     ... G running: 840s, GPU 96%
[15:35:06]     ... G running: 901s, GPU 96%
[15:36:06]     ... G running: 961s, GPU 96%
[15:37:06]     ... G running: 1021s, GPU 96%
[15:38:06]     ... G running: 1081s, GPU 96%
[15:39:06]     ... G running: 1141s, GPU 96%
[15:40:06]     ... G running: 1201s, GPU 96%
[15:41:06]     ... G running: 1261s, GPU 96%
[15:42:06]     ... G running: 1321s, GPU 96%
[15:43:06]     ... G running: 1381s, GPU 96%
[15:44:06]     ... G running: 1441s, GPU 96%
[15:45:06]     ... G running: 1501s, GPU 96%
[15:46:06]     ... G running: 1561s, GPU 96%
[15:47:06]     ... G running: 1621s, GPU 96%
[15:48:06]     ... G running: 1681s, GPU 96%
[15:49:06]     ... G running: 1741s, GPU 96%
[15:50:06]     ... G running: 1801s, GPU 96%
[15:51:06]     ... G running: 1861s, GPU 96%
[15:52:07]     ... G running: 1922s, GPU 96%
[15:53:07]     ... G running: 1982s, GPU 96%
[15:54:07]     ... G running: 2042s, GPU 96%
[15:55:07]     ... G running: 2102s, GPU 96%
[15:56:07]     ... G running: 2162s, GPU 96%
[15:57:07]     ... G running: 2222s, GPU 96%
[15:58:07]     ... G running: 2282s, GPU 96%
[15:59:07]     ... G running: 2342s, GPU 96%
[16:00:07]     ... G running: 2402s, GPU 96%
[16:01:07]     ... G running: 2462s, GPU 96%
[16:02:07]     ... G running: 2522s, GPU 96%
[16:03:07]     ... G running: 2582s, GPU 96%
[16:04:07]     ... G running: 2642s, GPU 96%
[16:05:07]     ... G running: 2702s, GPU 96%
[16:06:07]     ... G running: 2762s, GPU 96%
[16:07:07]     ... G running: 2822s, GPU 96%
[16:07:52] ── END G (2867s) ──
[16:07:52] ── START H ──
[16:08:52]     ... H running: 60s, GPU 96%
[16:09:52]     ... H running: 120s, GPU 96%
[16:10:52]     ... H running: 180s, GPU 96%
[16:11:52]     ... H running: 240s, GPU 96%
[16:12:52]     ... H running: 300s, GPU 96%
[16:13:52]     ... H running: 360s, GPU 96%
[16:14:52]     ... H running: 420s, GPU 96%
[16:15:52]     ... H running: 480s, GPU 96%
[16:16:52]     ... H running: 540s, GPU 96%
[16:17:52]     ... H running: 600s, GPU 96%
[16:18:52]     ... H running: 660s, GPU 96%
[16:19:52]     ... H running: 720s, GPU 96%
[16:20:15] ── END H (743s) ──
[16:20:15] ── START I ──
[16:20:15] Kopieer ShareGPT naar container...
[16:21:15]     ... I running: 60s, GPU 96%
[16:22:15]     ... I running: 120s, GPU 96%
[16:23:15]     ... I running: 180s, GPU 96%
[16:24:15]     ... I running: 240s, GPU 96%
[16:25:15]     ... I running: 300s, GPU 96%
[16:26:15]     ... I running: 360s, GPU 96%
[16:27:15]     ... I running: 420s, GPU 96%
[16:28:15]     ... I running: 480s, GPU 96%
[16:29:15]     ... I running: 540s, GPU 96%
[16:30:15]     ... I running: 600s, GPU 96%
[16:31:15]     ... I running: 660s, GPU 96%
[16:32:15]     ... I running: 720s, GPU 96%
[16:33:15]     ... I running: 780s, GPU 96%
[16:34:15]     ... I running: 840s, GPU 96%
[16:34:43] ── END I (868s) ──
[16:34:43] ── START J ──
[16:35:43]     ... J running: 60s, GPU 96%
[16:36:43]     ... J running: 120s, GPU 96%
[16:37:43]     ... J running: 180s, GPU 96%
[16:38:44]     ... J running: 241s, GPU 96%
[16:39:44]     ... J running: 301s, GPU 96%
[16:40:44]     ... J running: 361s, GPU 96%
[16:41:44]     ... J running: 421s, GPU 96%
[16:42:44]     ... J running: 481s, GPU 96%
[16:43:44]     ... J running: 541s, GPU 96%
[16:44:44]     ... J running: 601s, GPU 96%
[16:45:44]     ... J running: 661s, GPU 96%
[16:46:44]     ... J running: 721s, GPU 96%
[16:47:44]     ... J running: 781s, GPU 96%
[16:48:44]     ... J running: 841s, GPU 96%
[16:49:44] ── END J (901s) ──
[16:49:44] === klaar (10281s = 171m) ===
